t_start_file ,t_filter, x, y, z, r, p, y, u, v, h, rRate, pRate, yRate, cx, cx, bx, by, bz, t_real, x_real, y_real, z_real, r_real, p_real, y_real, u_real, v_real, h_real, rRate_real, pRate_real, yRate_real, t_motor,hp, hs
1594377510.212174,1594377510.094187,44.393088,8.945174,0.435519,0.000000,0.000000,0.997654,0.999953,0.000000,0.000000,0.000000,0.000000,0.007634,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.082351,44.393088,8.945174,0.000000,0.000000,0.000000,0.998415,0.999956,0.000000,0.000000,0.000000,0.000000,0.007630,1594377510.045793,20.717595,19.126337
1594377510.312299,1594377510.193286,44.393088,8.945175,0.435501,0.000000,0.000000,0.998415,0.999956,0.000000,0.000000,0.000000,0.000000,0.007630,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.182544,44.393088,8.945175,0.000000,0.000000,0.000000,0.999180,0.999958,0.000000,0.000000,0.000000,0.000000,0.007627,1594377510.146199,20.716348,19.127641
1594377510.412474,1594377510.293381,44.393089,8.945176,0.435484,0.000000,0.000000,0.999180,0.999958,0.000000,0.000000,0.000000,0.000000,0.007627,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.282644,44.393089,8.945176,0.000000,0.000000,0.000000,0.999943,0.999960,0.000000,0.000000,0.000000,0.000000,0.007622,1594377510.245914,20.715004,19.129037
1594377510.512198,1594377510.394889,44.393089,8.945177,0.435467,0.000000,0.000000,0.999943,0.999960,0.000000,0.000000,0.000000,0.000000,0.007622,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.382627,44.393089,8.945177,0.000000,0.000000,0.000000,1.000705,0.999963,0.000000,0.000000,0.000000,0.000000,0.007617,1594377510.345900,20.713935,19.130125
1594377510.612365,1594377510.494127,44.393090,8.945178,0.435450,0.000000,0.000000,1.000705,0.999963,0.000000,0.000000,0.000000,0.000000,0.007617,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.482416,44.393090,8.945178,0.000000,0.000000,0.000000,1.001464,0.999965,0.000000,0.000000,0.000000,0.000000,0.007612,1594377510.448408,20.712743,19.131338
1594377510.712188,1594377510.593900,44.393090,8.945180,0.435433,0.000000,0.000000,1.001464,0.999965,0.000000,0.000000,0.000000,0.000000,0.007612,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.582363,44.393090,8.945180,0.000000,0.000000,0.000000,1.002225,0.999967,0.000000,0.000000,0.000000,0.000000,0.007606,1594377510.545711,20.711471,19.132632
1594377510.812234,1594377510.693541,44.393091,8.945181,0.435416,0.000000,0.000000,1.002225,0.999967,0.000000,0.000000,0.000000,0.000000,0.007606,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.682395,44.393091,8.945181,0.000000,0.000000,0.000000,1.002985,0.999969,0.000000,0.000000,0.000000,0.000000,0.007600,1594377510.646816,20.710259,19.133854
1594377510.912522,1594377510.793388,44.393091,8.945182,0.435399,0.000000,0.000000,1.002985,0.999969,0.000000,0.000000,0.000000,0.000000,0.007600,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.782527,44.393091,8.945182,0.000000,0.000000,0.000000,1.003746,0.999971,0.000000,0.000000,0.000000,0.000000,0.007594,1594377510.745941,20.708804,19.135339
1594377511.012188,1594377510.896748,44.393092,8.945183,0.435382,0.000000,0.000000,1.003746,0.999971,0.000000,0.000000,0.000000,0.000000,0.007594,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.882359,44.393092,8.945183,0.000000,0.000000,0.000000,1.004504,0.999973,0.000000,0.000000,0.000000,0.000000,0.007587,1594377510.846002,20.707361,19.136806
1594377511.112462,1594377510.993425,44.393092,8.945184,0.435365,0.000000,0.000000,1.004504,0.999973,0.000000,0.000000,0.000000,0.000000,0.007587,0.000000,0.000000,0.000000,0.000000,0.000000,1594377510.982578,44.393092,8.945184,0.000000,0.000000,0.000000,1.005264,0.999974,0.000000,0.000000,0.000000,0.000000,0.007579,1594377510.948835,20.705940,19.138247
